station,lat,lon,mean_demand,cluster_id,cluster_label
Parc Jean-Drapeau (Chemin Macdonald),45.512470265414784,-73.53212228978008,21.930348258706466,2,high
Parc Jeanne-Mance (du Mont-Royal / du Parc),45.51689731423111,-73.58910799026489,16.566897918731417,0,medium
Parc Jeanne-Mance (monument sir George-Étienne-Cartier),45.51487490356938,-73.58486406505108,17.44966622162884,0,medium
Parc Lalancette (de Rouen / Valois),45.54814504700217,-73.5471260547638,7.862270875763747,1,low
Parc Ludger-Duvernay (St-André / St-Hubert),45.53147464147482,-73.59242051839828,6.201254431415326,1,low
Parc Maisonneuve (Viau / Sherbrooke),45.56493679334249,-73.5555911064148,9.632753623188405,1,low
Parc Molson (d'Iberville / Beaubien),45.54902230455398,-73.59198164194822,6.42219711945778,1,low
Parc Père-Marquette (Chambord / Rosemont),45.53708783301333,-73.59321847558022,10.051474262868565,1,low
Parc St-Patrick (St-Patrick / St-Columban),45.48870785150952,-73.55899317193689,8.923783287419651,1,low
Parc du Pélican (1ere Ave / Masson),45.54518840394769,-73.57644259929657,13.434571890145396,0,medium
Parthenais / Larivière,45.53025954525953,-73.55784621096973,9.13691056910569,1,low
Parthenais / du Mont-Royal,45.53640396516409,-73.57141345739365,13.786791986148899,0,medium
Peel / Notre-Dame,45.49544692088696,-73.56329441070557,15.453491368204071,0,medium
Peel / Ottawa,45.49419955357054,-73.55998456478119,21.258172273920305,2,high
Pierre-de-Coubertin / Aird,45.55903106539297,-73.54830354452133,8.70450885668277,1,low
Place Valois (Valois / Ontario),45.54714142711512,-73.54339510202408,11.33228544482867,1,low
Place des Festivals (du Président-Kennedy / de Bleury),45.50764392965887,-73.56932401657104,12.423008399083736,0,medium
Place du Canada (Peel / des Canadiens-de-Montréal),45.497795545133336,-73.56825113296509,11.929722222222223,0,medium
Plessis / Ontario,45.523593057451045,-73.56109768152237,9.873927735898102,1,low
Poupart / Ontario,45.531836726498305,-73.55348825454712,6.383820108555182,1,low
Prince-Arthur / St-Urbain,45.51262123436571,-73.5737282037735,10.597208374875374,1,low
Prince-Arthur / du Parc,45.51044465753362,-73.5755842924118,21.290002420721375,2,high
Queen / Wellington,45.49760527699099,-73.55534970760345,8.458215074109114,1,low
Querbes / Laurier,45.517503062030734,-73.59790614807935,7.395397489539749,1,low
Rachel / de Brébeuf,45.52689,-73.57264,12.566380878150168,0,medium
René-Lévesque / Papineau,45.52097057660443,-73.5499919950962,8.082891079100328,1,low
Richardson / Montmorency,45.484966061164755,-73.56032252311707,8.982954545454545,1,low
Richmond / des Bassins,45.48752158511353,-73.56500297784805,18.123527800602574,0,medium
Rivard / du Mont-Royal,45.524558956532104,-73.58263313770294,24.501842299189388,2,high
Robert-Bourassa / René-Lévesque,45.502182909901194,-73.56825381517409,7.9865331491712706,1,low
Robert-Bourassa / St-Maurice,45.49837045828952,-73.56055587530136,6.44609870416322,1,low
Ropery / Augustin-Cantin,45.48097552629275,-73.56863468885422,7.1101190476190474,1,low
Roy / Saint-Laurent,45.51565182195085,-73.57577390039296,11.113396889111891,1,low
Roy / St-André,45.521564270906616,-73.57036739587784,14.524039684558636,0,medium
Roy / St-Denis,45.51908,-73.5727,17.460695187165776,0,medium
Ryde / Charlevoix,45.4757434,-73.5646007,5.949790794979079,1,low
Sanguinet / de Maisonneuve,45.51340553558378,-73.56259435415267,12.146799116997792,0,medium
Sewell / Roy,45.51467743947122,-73.57659816741943,7.962633451957295,1,low
Shearer / Centre,45.4828250990486,-73.56206325352105,6.489795918367347,1,low
Sherbrooke / Jeanne-d'Arc,45.55398156058887,-73.55496388156098,12.12637222364054,0,medium
Smith / Peel,45.49276061084002,-73.55641052126883,22.546833614254755,2,high
Square St-Louis (du Square St-Louis / Laval),45.516090801970655,-73.5701286792755,17.89916897506925,0,medium
Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295,16.69924812030075,0,medium
Square Viger (Berri / Viger),45.5121682576952,-73.55481594800949,14.89691235059761,0,medium
Square-Victoria (Viger / du Square-Victoria),45.50208503935104,-73.56294138360681,17.495343680709535,0,medium
St-Alexandre / Ste-Catherine,45.50527354034462,-73.5674786567688,11.43645569620253,1,low
St-Ambroise / Louis-Cyr,45.47519326260791,-73.58094334602356,7.215627796003579,1,low
St-André /  Cherrier,45.52050169308784,-73.56770128011703,10.953257086026852,1,low
St-André / Ontario,45.51889,-73.56353,8.696560196560197,1,low
St-André / Rachel,45.52409561323593,-73.57537156904073,7.810930962343096,1,low
St-André / Ste-Catherine,45.516297540849614,-73.55801045894623,17.27692670280462,0,medium
St-Antoine / Jean-Paul Riopelle,45.502939709023714,-73.56064036488532,8.405110460473782,1,low
St-Antoine / St-François-Xavier,45.5045770667804,-73.55918392539024,6.3917553917553915,1,low
St-Antoine / de la Montagne,45.495369835210354,-73.56859177350998,7.021653023501452,1,low
St-Cuthbert / Clark,45.51567168354896,-73.57744306325912,11.905202681136291,0,medium
St-Cyril / Wiseman,45.52085479492202,-73.61573964357376,7.745652738126135,1,low
St-Denis / Ste-Catherine,45.51372291221464,-73.5603104531765,14.455150320354855,0,medium
St-Dominique / Jean-Talon,45.53520398241678,-73.6175217570053,6.983707865168539,1,low
St-Dominique / Laurier,45.52361490311454,-73.59245739877223,18.294544544544543,0,medium
St-Dominique / Napoléon,45.51666442219882,-73.57722043991089,13.757114328507239,0,medium
St-Dominique / Rachel,45.518593,-73.581566,17.278787878787877,0,medium
St-Dominique / St-Viateur,45.52655700191558,-73.5982757806778,8.795982783357246,1,low
St-Dominique / St-Zotique,45.53226461018495,-73.6110632121563,15.762078174314153,0,medium
St-Dominique / de Bellechasse,45.52952466565309,-73.60488876700401,11.654891994917408,0,medium
St-Dominique / du Mont-Royal,45.52055405900748,-73.58585013080301,13.113263785394933,0,medium
St-Grégoire / Christophe-Colomb,45.53255611409675,-73.58993947505951,10.596816976127322,1,low
St-Hubert / Duluth,45.522425652788634,-73.57418417930603,12.458160526957794,0,medium
St-Hubert / Laurier,45.52893724049854,-73.58786880970001,11.734658385093168,0,medium
St-Hubert / René-Levesque,45.514369201445305,-73.55648696422577,6.075761453800871,1,low
St-Hubert / de Maisonneuve (nord),45.51613214980722,-73.56049686670303,9.464587062132447,1,low
St-Hubert / de Maisonneuve (sud),45.51586835126322,-73.56008380651474,17.281311846197344,0,medium
St-Jacques / Gauvin,45.50065923264611,-73.5611384269032,8.865681896255582,1,low
St-Jacques / McGill,45.50114344835097,-73.56077313423157,9.555997876857749,1,low
St-Laurent / Pl. du Marché,45.50928960913111,-73.56241598725319,11.273515166964058,1,low
St-Nicolas / Place d'Youville,45.501966859101564,-73.55515256524086,9.714997232982844,1,low
St-Patrick / Thomas-Keefer,45.47801152713375,-73.57427294832632,18.065681961030798,0,medium
St-Rémi / Ste-Émilie,45.46976497412213,-73.58923405408859,10.054251829422155,1,low
St-Timothée / Ste-Catherine,45.5170563208812,-73.55770137168292,7.7103825136612025,1,low
St-Urbain / Laurier,45.52164617544124,-73.59366774559021,8.800711743772242,1,low
St-Urbain / de la Gauchetière,45.50707812811467,-73.56139540672302,9.949308755760368,1,low
St-Zotique / Clark,45.53143760098197,-73.61270070075989,10.392642838507696,1,low
Stanley / René-Lévesque,45.49790394592446,-73.57077571808077,9.906036602021306,1,low
Stanley / Sherbrooke,45.50105732321463,-73.57722634080346,7.3036690085870415,1,low
Ste-Catherine / Bishop,45.49658063218649,-73.5762146115303,6.95055945875618,1,low
Ste-Catherine / Dézéry,45.53938508196168,-73.54099988937377,8.139691235059761,1,low
Ste-Catherine / Sanguinet,45.512936177874096,-73.56124520301817,10.579536777806057,1,low
Ste-Catherine / St-Denis,45.5138663042805,-73.56042764151425,10.29816513761468,1,low
Ste-Catherine / St-Laurent,45.50991130818593,-73.56380604207516,20.0170550084074,2,high
Ste-Catherine / St-Mathieu,45.49384690142783,-73.57917845249176,14.695924764890282,0,medium
Ste-Catherine / Towers,45.49228068089086,-73.58096480369566,11.414028251339504,1,low
Ste-Catherine / Union,45.50373771539475,-73.56948494911194,17.948081264108353,0,medium
Ste-Famille / Sherbrooke,45.51002361741137,-73.57068121433258,13.691931540342297,0,medium
Ste-Famille / des Pins,45.512856179335664,-73.57692807912827,8.26280860100876,1,low
Ste-Émilie / Sir-Georges-Etienne-Cartier,45.472636238971525,-73.58546018600464,10.466545170528509,1,low
Tupper / du Fort,45.491202175002506,-73.58074486255646,6.824455899198167,1,low
Turgeon / Notre-Dame,45.47888852807208,-73.58198940753937,9.173117709437964,1,low
Union / Ste-Catherine,45.504027213143104,-73.56970220804214,11.918023083752589,0,medium
University / Milton,45.5065386376248,-73.5766088962555,25.29430548163917,2,high
University / Prince-Arthur,45.5074794530521,-73.57864737510681,10.944773175542407,1,low
Vallières / St-Laurent,45.518967223320054,-73.5836161673069,11.170700958144225,1,low
Valois / Ste-Catherine,45.54522973039872,-73.53725016117096,7.2682215743440235,1,low
Victoria / de Maisonneuve,45.47742856483265,-73.60016942024231,8.135768051296347,1,low
Viger / Chenneville,45.50531166520915,-73.56089115142822,6.45897577092511,1,low
Villeneuve / St-Dominique,45.522110586209195,-73.58881697058678,11.335079840319361,1,low
Villeneuve / du Parc,45.518197623521424,-73.59239235520363,10.021097046413502,1,low
Waverly / Bernard,45.52562443297396,-73.60413372516632,8.99845480298738,1,low
Waverly / St-Viateur,45.5238561444472,-73.60012650489807,12.329545454545455,0,medium
Wellington / 3e avenue,45.45749246180326,-73.56758799411182,12.476482617586912,0,medium
Wellington / Gordon,45.46115406449117,-73.56709241867065,14.978008796481408,0,medium
Wellington / de l'Église,45.46311264513107,-73.56705610964127,14.406625258799172,0,medium
Wilderton  / Van Horne,45.51014162409143,-73.6247518658638,7.582825203252033,1,low
